disease	hpo
OMIM_616734	HP_0000286,HP_0000046,HP_0000486,HP_0004322,HP_0001250,HP_0000160,HP_0001252,HP_0000482,HP_0001290,HP_0012745,HP_0000316,HP_0100807,HP_0001763,HP_0001249,HP_0000358,HP_0000175,HP_0000494,HP_0000252,HP_0002079,HP_0000691,HP_0000294,HP_0004691,HP_0001182,HP_0000767,HP_0000568,HP_0004209,HP_0000047,HP_0000006,HP_0000369,HP_0000582,HP_0003577,HP_0000581,HP_0001270,HP_0012368,HP_0008551,HP_0000219,HP_0002119,HP_0006610,HP_0000396,HP_0000670,HP_0000475,HP_0000750,HP_0004279,HP_0000431,HP_0000276,HP_0000470,HP_0009909,HP_0034400,HP_0000070,HP_0005280,HP_0000508,HP_0000664,HP_0000028,HP_0000347
OMIM_613686	HP_0003422,HP_0000772,HP_0003310,HP_0001696,HP_0004322,HP_0001651,HP_0002475,HP_0030323,HP_0003298,HP_0010306,HP_0002091,HP_0000902,HP_0002937,HP_0002948,HP_0000921,HP_0000007,HP_0003305
OMIM_219400	HP_0001438,HP_0002094,HP_0000007,HP_0001217,HP_0000961,HP_0012115
OMIM_270500	HP_0003621,HP_0003676,HP_0002312,HP_0002136,HP_0002650,HP_0002497,HP_0001310,HP_0003487,HP_0001260,HP_0001263,HP_0002370,HP_0011448,HP_0000639,HP_0000407,HP_0009830,HP_0001317,HP_0000007,HP_0007663,HP_0000505,HP_0000648,HP_0001257,HP_0001249,HP_0001337,HP_0001347
OMIM_614602	HP_0002224,HP_0002583,HP_0030056,HP_0003593,HP_0002240,HP_0001394,HP_0025085,HP_0008070,HP_0001508,HP_0011220,HP_0011461,HP_0000316,HP_0200123,HP_0009886,HP_0001622,HP_0003623,HP_0002014,HP_0000431,HP_0002299,HP_0005280,HP_0040303,HP_0001518,HP_0011473,HP_0000007,HP_0001511,HP_0002721,HP_0002028
OMIM_607473	HP_0001892,HP_0011858,HP_0008321,HP_0008169,HP_0000007,HP_0040250
OMIM_607822	HP_0002015,HP_0031868,HP_0001288,HP_0001332,HP_0002354,HP_0003487,HP_0001250,HP_0002120,HP_0002186,HP_0002395,HP_0001260,HP_0001285,HP_0003581,HP_0002185,HP_0002071,HP_0010524,HP_0000726,HP_0000751,HP_0000006,HP_0002511,HP_0001336,HP_0003678
OMIM_617616	HP_0000486,HP_0000463,HP_0001250,HP_0003593,HP_0002064,HP_0001290,HP_0000280,HP_0040082,HP_0003828,HP_0002119,HP_0002019,HP_0000215,HP_0001249,HP_0002136,HP_0001344,HP_0031936,HP_0002079,HP_0011968,HP_0000293,HP_0001263,HP_0005280,HP_0000646,HP_0430028,HP_0000403,HP_0000347,HP_0000006,HP_0005338,HP_0000687
OMIM_301060	HP_0033808,HP_0001419,HP_0003251,HP_0011962,HP_0000787
OMIM_612736	HP_0001276,HP_0008947,HP_0002069,HP_0001250,HP_0002385,HP_0001252,HP_0002063,HP_0001251,HP_0003593,HP_0002061,HP_0010864,HP_0000718,HP_0034321,HP_0001249,HP_0001347,HP_0000750,HP_0001344,HP_0002376,HP_0002373,HP_0010819,HP_0002572,HP_0001263,HP_0011344,HP_0025051,HP_0012101,HP_0007153,HP_0000007,HP_0001337,HP_0001336
OMIM_605750	HP_0000541,HP_0008052,HP_0011530,HP_0007663,HP_0030490,HP_0001147,HP_0000006
OMIM_182150	HP_0001595,HP_0000343,HP_0000023,HP_0000364,HP_0000160,HP_0000581,HP_0012368,HP_0045075,HP_0000437,HP_0000337,HP_0000377,HP_0000358,HP_0000951,HP_0002553,HP_0000431,HP_0003189,HP_0000276,HP_0000430,HP_0000272,HP_0010751,HP_0000506,HP_0002705,HP_0000006,HP_0000369,HP_0001611
OMIM_609048	HP_0012056,HP_0001074,HP_0001062,HP_0001054,HP_0000006
OMIM_131850	HP_0012221,HP_0000007,HP_0000989,HP_0008404,HP_0000006,HP_0000951,HP_0000962
OMIM_618477	HP_0032573,HP_0032574,HP_0000007
OMIM_618307	HP_0010280,HP_0001041,HP_0011463,HP_0002097,HP_0000007,HP_0032215,HP_0030080,HP_0031514
OMIM_615419	HP_0002465,HP_0003676,HP_0000486,HP_0003431,HP_0001250,HP_0003196,HP_0002020,HP_0000639,HP_0000319,HP_0011220,HP_0000817,HP_0008897,HP_0000219,HP_0000417,HP_0002019,HP_0001347,HP_0000154,HP_0003202,HP_0008936,HP_0000252,HP_0002510,HP_0002650,HP_0011968,HP_0001263,HP_0000007,HP_0007256,HP_0000648,HP_0000768,HP_0000400,HP_0000028,HP_0000369,HP_0000347,HP_0000325,HP_0000248
OMIM_617030	HP_0010628,HP_0003555,HP_0003693,HP_0003198,HP_0000007,HP_0003805,HP_0003677,HP_0008180,HP_0002600
OMIM_212100	HP_0005875,HP_0000365,HP_0000007,HP_0001714
OMIM_601868	HP_0000407,HP_0000006
OMIM_618129	HP_0003555,HP_0003236,HP_0003621,HP_0003687,HP_0003596,HP_0001288,HP_0003198,HP_0003584,HP_0003691,HP_0012548,HP_0009023,HP_0011463,HP_0011462,HP_0003307,HP_0007126,HP_0003418,HP_0003701,HP_0000006,HP_0003326,HP_0003557
OMIM_223550	HP_0003510,HP_0002827,HP_0000007
OMIM_311400	HP_0006955,HP_0000252,HP_0001264,HP_0001321,HP_0002123,HP_0001417
OMIM_620068	HP_0006944,HP_0001771,HP_0003676,HP_0003431,HP_0001250,HP_0003593,HP_0001270,HP_0100297,HP_0040081,HP_0007340,HP_0011463,HP_0009027,HP_0007002,HP_0007126,HP_0008954,HP_0001324,HP_0002359,HP_0007149,HP_0008997,HP_0001249,HP_0003447,HP_0002650,HP_0001284,HP_0009053,HP_0001257,HP_0000006,HP_0008944
OMIM_612158	HP_0003621,HP_0031318,HP_0031319,HP_0001695,HP_0005110,HP_0030682,HP_0011421,HP_0001706,HP_0001639,HP_0011462,HP_0001712,HP_0006685,HP_0000006,HP_0001678,HP_0001644,HP_0004755
OMIM_615999	HP_0033077,HP_0000007,HP_0008247,HP_0000006
OMIM_235255	HP_0001399,HP_0002243,HP_0000023,HP_0001252,HP_0003075,HP_0002240,HP_0001290,HP_0003270,HP_0009085,HP_0001629,HP_0000319,HP_0006273,HP_0000316,HP_0000998,HP_0000219,HP_0002119,HP_0000218,HP_0000774,HP_0001522,HP_0001004,HP_0005989,HP_0001744,HP_0005469,HP_0000054,HP_0000175,HP_0000494,HP_0001561,HP_0000431,HP_0000474,HP_0001541,HP_0001162,HP_0000272,HP_0000470,HP_0011800,HP_0000007,HP_0002901,HP_0006521,HP_0000520,HP_0000028,HP_0000347,HP_0000369,HP_0000126,HP_0008229
OMIM_192700	HP_0001626,HP_0000961,HP_0000006
OMIM_614782	HP_0002345,HP_0002174,HP_0000006
OMIM_618331	HP_0002059,HP_0003236,HP_0003676,HP_0001344,HP_0002540,HP_0002133,HP_0002188,HP_0002376,HP_0003201,HP_0001250,HP_0003593,HP_0005484,HP_0011344,HP_0100704,HP_0000007,HP_0002445
OMIM_619869	HP_0000341,HP_0002389,HP_0003577,HP_0000365,HP_0004322,HP_0011555,HP_0011833,HP_0002280,HP_0010442,HP_0045075,HP_0008070,HP_0001508,HP_0000639,HP_0000518,HP_0011220,HP_0000218,HP_0001643,HP_0000278,HP_0001320,HP_0000252,HP_0006956,HP_0000076,HP_0000233,HP_0002079,HP_0002198,HP_0045025,HP_0011344,HP_0001518,HP_0001636,HP_0000007,HP_0000647,HP_0000543,HP_0001159,HP_0001631
OMIM_212050	HP_0001287,HP_0003621,HP_0001871,HP_0003212,HP_0032259,HP_0012203,HP_0010975,HP_0032515,HP_0032061,HP_0009098,HP_0040303,HP_0025708,HP_0031392,HP_0031393,HP_0011463,HP_0040089,HP_0000007,HP_0002716,HP_0002721
OMIM_230000	HP_0001014,HP_0000365,HP_0004322,HP_0001332,HP_0001371,HP_0001250,HP_0005453,HP_0002064,HP_0003593,HP_0000280,HP_0000958,HP_0000914,HP_0011220,HP_0002938,HP_0000316,HP_0001922,HP_0000158,HP_0001324,HP_0004558,HP_0001249,HP_0002510,HP_0000970,HP_0000574,HP_0002673,HP_0004298,HP_0001263,HP_0012067,HP_0000007,HP_0000445,HP_0001552,HP_0001271,HP_0002240,HP_0100790,HP_0008430,HP_0010471,HP_0008436,HP_0000179,HP_0001744,HP_0001348,HP_0002059,HP_0002650,HP_0004630,HP_0001640,HP_0002376,HP_0012236,HP_0000943,HP_0000503,HP_0002007,HP_0002205
OMIM_235900	HP_0002113,HP_0005413,HP_0005764,HP_0002719,HP_0000007,HP_0100727,HP_0010702
OMIM_618328	HP_0003577,HP_0001250,HP_0000007,HP_0001319,HP_0200134,HP_0002878,HP_0002093
OMIM_616515	HP_0003577,HP_0001751,HP_0000639,HP_0004463,HP_0001263,HP_0000007,HP_0002403,HP_0000399
OMIM_618760	HP_0008936,HP_0002353,HP_0002540,HP_0001332,HP_0002079,HP_0001263,HP_0003593,HP_0002072,HP_0000708,HP_0100704,HP_0032660,HP_0000729,HP_0100716,HP_0012171,HP_0007359,HP_0000006,HP_0001249
OMIM_615963	HP_0000010,HP_0000076,HP_0001382,HP_0000081,HP_0000006
OMIM_618173	HP_0001133,HP_0100832,HP_0007737,HP_0003621,HP_0000662,HP_0030672,HP_0007663,HP_0011505,HP_0000510,HP_0007787,HP_0007843,HP_0000006
OMIM_114550	HP_0006572,HP_0001428,HP_0001402,HP_0001413
OMIM_618824	HP_0001276,HP_0002135,HP_0001300,HP_0002067,HP_0003487,HP_0002310,HP_0001250,HP_0001260,HP_0002451,HP_0002063,HP_0002070,HP_0025041,HP_0000639,HP_0000729,HP_0007352,HP_0000338,HP_0000007,HP_0007325,HP_0001268,HP_0001348
OMIM_618960	HP_0001298,HP_0002355,HP_0002015,HP_0002312,HP_0001344,HP_0001250,HP_0003690,HP_0003390,HP_0012332,HP_0002747,HP_0012391,HP_0000006,HP_0002522,HP_0002500
